Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0.00236779, 0.000940465, 0.00142257, 9.1438e-05, 585, 19662, 1810.0.00378561, 0.00201392, 0.00176693, 0.000129434, 602, 19835, 1650.0.00191299, 0.000813406, 0.00109602, 0.000110434, 575, 19592, 180.00.00231079, 0.000949964, 0.00135726, 0.000135367, 632, 21079, 0.0030.00209467, 0.000870405, 0.00121952, 0.000125867, 599, 197560.002330.00234166, 0.00101527, 0.00132164, 0.000106877, 613, 20467,0.00200.00199611, 0.000852592, 0.00113996, 0.000100934, 625, 206690.002110.00349112, 0.00175862, 0.00172775, 0.000137743, 585, 203130.003170.0018453, 0.000801532, 0.00104021, 6.7686e-05, 608, 20398,0.00200.00245447, 0.00112808, 0.00132282, 0.000111617, 616, 20686, 0.0020.00182512, 0.000786096, 0.00103427, 9.6185e-05, 567, 19927, 0.0020.00245684, 0.00105683, 0.00139763, 0.00011281, 632, 20772, 10.000.00190112, 0.000857342, 0.00104021, 9.8564e-05, 612, 19975, 10.000.0022051, 0.000876342, 0.0013252, 9.8558e-05, 607, 20071, 160.00.00200917, 0.000889404, 0.00111621, 0.000131805, 626, 20815, 20.000.00205311, 0.000973713, 0.00105683, 8.9056e-05, 598, 20783, 10.000.0018833, 0.000827656, 0.00105327, 9.7374e-05, 603, 20776, 170.00.00358611, 0.00195811, 0.00162206, 0.000138932, 603, 19965, 170.00.00179899, 0.000852593, 0.000942839, 7.9561e-05, 571, 19339, 10.000.00405041, 0.00207211, 0.00197355, 0.000189987, 617, 20861, 0.0010.00262428, 0.0010414, 0.00157813, 0.000109248, 623, 21727,0.00220.00204599, 0.00097965, 0.00106277, 8.431e-05, 627, 20734, 10.000.00207567, 0.00105565, 0.00101527, 9.7376e-05, 591, 19879, 170.00.00239628, 0.00110552, 0.00128364, 9.2623e-05, 596, 20503, 10.000.00354099, 0.00233929, 0.00119577, 0.000100936, 601, 20497, 10.000.00183343, 0.00084428, 0.000985588, 6.6503e-05, 599, 20650, 120.00.00188805, 0.000875154, 0.00101052, 9.499e-05, 576, 19666, 168300.00215998, 0.000941652, 0.00121358, 0.000135372, 630, 20235, 20.000.00408603, 0.00214811, 0.00193318, 0.000157928, 611, 20402, 180.00.00206617, 0.000903653, 0.00115777, 9.1433e-05, 625, 20332, 10.000.00396254, 0.00207805, 0.00188093, 0.000134187, 595, 20481, 10.000.00214692, 0.000955901, 0.00118627, 0.000121121, 607, 20176, 0.0030.00205786, 0.000944027, 0.00111027, 9.4998e-05, 588, 20009, 0.0020.00230722, 0.00104971, 0.00125277, 0.000111621, 631, 20627, 0.0020.00191655, 0.00083953, 0.00107227, 0.000105681, 606, 19889,0.00320.00200561, 0.000902466, 0.0010984, 9.1431e-05, 609, 2060.00356350.00176812, 0.000822906, 0.000940464, 8.431e-05, 602, 1970.00368340.00185599, 0.000825281, 0.00102715, 8.1934e-05, 583, 1960.00360860.00226566, 0.000877529, 0.00138457, 9.3812e-05, 599, 200.002029360.0023666, 0.00135132, 0.00100934, 0.00010806, 606, 206030.002320.00174793, 0.000833593, 0.000910778, 7.5999e-05, 562, 18170.0024270.00186787, 0.000815781, 0.00104615, 0.000108062, 623, 2050.00332600.00283683, 0.00177643, 0.00105565, 9.8557e-05, 608, 2040.00208390.00246634, 0.00117321, 0.00129076, 0.000103311, 622, 2040.00221340.00339968, 0.00187262, 0.00152232, 0.000142496, 610, 20020.0028020.00215285, 0.000997462, 0.00115183, 0.000105678, 596, 190.001952180.00208517, 0.000949963, 0.00113283, 6.6498e-05, 601, 2070.00196520.00295795, 0.00144394, 0.00151044, 9.8558e-05, 601, 203510.001800.00192605, 0.0009939, 0.000927402, 9.2619e-05, 586, 19712, 0.0010.00224191, 0.00112214, 0.00111621, 9.0247e-05, 628, 20063, 0.0010.00315388, 0.00175031, 0.00139882, 0.00014368, 616, 20861, 0.0020.00267059, 0.00129433, 0.0013727, 8.5496e-05, 637, 21239, 1350.0.00258746, 0.00115777, 0.00142613, 0.000137743, 606, 20583, 1910.0.0021018, 0.000894153, 0.00120408, 7.4808e-05, 607, 20442, 132000.00197711, 0.000960651, 0.0010129, 7.0058e-05, 626, 21499, 1419
0.00216354, 0.00115658, 0.00100102, 8.9059e-05, 579, 20003, 1683
0.00185718, 0.000864467, 0.000987962, 9.6183e-05, 588, 19888, 1254
0.00380223, 0.00192249, 0.00187618, 0.00019118, 613, 20062, 2145
0.00202461, 0.000927402, 0.00109246, 0.000103305, 608, 20115, 1749
0.00201036, 0.000952338, 0.00105446, 8.1937e-05, 618, 20676, 1320
0.00185718, 0.000850217, 0.00100459, 9.9745e-05, 611, 20774, 1650
0.00196286, 0.000843093, 0.00111739, 8.0746e-05, 619, 20501, 1386
0.00332487, 0.00187143, 0.0014487, 9.8554e-05, 611, 20755, 1320
0.0019023, 0.000833593, 0.00106515, 9.6185e-05, 594, 20024, 1947
