TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
15.105, 0.00413047, 0.000633814, 0.00479159, 0, 0, 1.187e-06, 0.00487704, 5.935e-06
15.207, 0.00585981, 0.000671795, 0.00655891, 0, 0, 1.186e-06, 0.00668947, 1.1869e-05
15.308, 0.00665979, 0.0010433, 0.00772921, 0, 0, 1.187e-06, 0.00784196, 7.122e-06
15.405, 0.00502422, 0.000688412, 0.00573281, 0, 0, 1.187e-06, 0.00581115, 7.122e-06
15.506, 0.00476073, 0.000542421, 0.00532926, 0, 0, 1.187e-06, 0.0054159, 5.934e-06
15.605, 0.00413522, 0.000792861, 0.00496131, 0, 0, 0, 0.00504559, 5.935e-06
15.707, 0.00468001, 0.00380288, 0.00850307, 0, 0, 1.187e-06, 0.00858259, 7.121e-06
15.804, 0.00434411, 0.0009163, 0.00528296, 0, 0, 1.187e-06, 0.00537554, 7.122e-06
15.907, 0.00652923, 0.000687224, 0.00724256, 0, 0, 1.187e-06, 0.00733989, 7.122e-06
16.005, 0.00455776, 0.000633813, 0.00521294, 0, 0, 1.187e-06, 0.00530314, 4.747e-06
16.105, 0.00418269, 0.00109434, 0.00530196, 0, 0, 2.374e-06, 0.00540166, 5.934e-06
16.205, 0.00398685, 0.000989888, 0.00500048, 0, 0, 1.187e-06, 0.00511324, 7.122e-06
16.304, 0.00376371, 0.000652804, 0.00443551, 0, 0, 1.187e-06, 0.00450553, 7.121e-06
16.403, 0.00387528, 0.000398804, 0.00429189, 0, 0, 1.187e-06, 0.00436785, 7.121e-06
16.505, 0.00449485, 0.0010528, 0.0055702, 0, 0, 1.186e-06, 0.00564972, 7.122e-06
16.607, 0.00616484, 0.00079286, 0.00698262, 0, 0, 1.187e-06, 0.00707402, 7.122e-06
16.704, 0.00468001, 0.000817785, 0.00551916, 0, 0, 1.187e-06, 0.00559987, 7.121e-06
16.804, 0.00481057, 0.000695532, 0.00552746, 0, 0, 1.186e-06, 0.00560936, 7.122e-06
16.903, 0.00477971, 0.000668233, 0.00547168, 0, 0, 1.187e-06, 0.00555476, 5.935e-06
17.005, 0.00547643, 0.000788112, 0.00630015, 0, 0, 1.186e-06, 0.00639154, 7.122e-06
17.105, 0.00425628, 0.000636187, 0.00491739, 0, 0, 1.187e-06, 0.00500522, 7.121e-06
17.207, 0.00577197, 0.000625504, 0.00642596, 0, 0, 1.187e-06, 0.00651617, 8.309e-06
17.305, 0.00419931, 0.000686037, 0.00491383, 0, 0, 1.187e-06, 0.00501591, 8.309e-06
17.403, 0.00456962, 0.000522243, 0.00510967, 0, 0, 1.187e-06, 0.00518445, 7.121e-06
17.503, 0.00314651, 0.000503252, 0.00366994, 0, 0, 1.187e-06, 0.0037459, 5.935e-06
17.603, 0.00434055, 0.000439158, 0.0047987, 0, 0, 1.187e-06, 0.0048794, 5.935e-06
17.706, 0.00511204, 0.000743008, 0.00587997, 0, 0, 1.187e-06, 0.00596424, 7.122e-06
17.805, 0.00388715, 0.000690785, 0.00459811, 0, 0, 1.187e-06, 0.00467051, 7.121e-06
17.905, 0.00354413, 0.00180411, 0.00536723, 0, 0, 1.187e-06, 0.00543726, 5.935e-06
